Meanings,English Definition,POS,J Translation
piece,small part that of something larger,n,一かけら；破片
place,To put something in a certain location or position,verb,置く；設置する
plan,detailed proposal/set of actions to do something,n,計画；段取り
plant,living thing with leaves and roots growing in soil,n,植物
player,person who plays sports,n,選手；プレーヤー
please,You say this when you politely ask people for things,adv,どうぞ；どうか；ぜひ
plenty,when there is not too little of something; a lot ,pron,たくさん
plus,Having a value greater than zero,prep,正数
police,"People, often in uniforms, who solve crimes",n,警察
poor,Without money; not rich,adj,貧しい
pop,to cause something to open or burst suddenly,verb,ポンとはじける；現れる；飛び出す
position,specific location where someone or something is,n,位置
possibility,something with a chance of happening or being true,n,可能性
possible,"Having a chance of happening, or being true",adj,可能な；可能性がある
possibly,"may be true or likely, but is uncertain",adv,考えようによっては；～かも知れない
pot,"deep, round container that is used for cooking",n,鍋；容器
pound,unit of weight equal to 16 ounces or 0.4536 kg,n,常用ポンド；16オンス，0.4536kgに相当
power,legal or official right to perform certain actions,n,権力；支配権
powerful,Having control or influence over,adj,強力な；効力のある
preparation,act of making ready for a purpose or activity,n,準備
prepare,To make something ready for use,verb,準備する
present,gift,n,プレゼント；贈り物 
presentation,act of giving a formal talk about something,n,発表；プレゼンテーション
press,To push something against something else,verb,押す；押しつける
pretty,Being attractive to the eye in a simple way,adj,かわいい；すてきな
price,To determine or set the cost of something,verb,値段をつける
prison,place the court puts criminals as punishment; jail,n,刑務所
prisoner,Someone kept in a prison as punishment for a crime,n,囚人
probability,what the chances are that something will happen,n,可能性；確率
probably,(+adj or v) that is likely to happen or be true,adv,おそらく
problem,Something difficult to deal with or causes trouble,n,問題
program,planned set of actions; a schematic system,n,計画；予定
promise,to say you will certainly do something,verb,約束する
proper,Correct according to social or moral rules,adj,適切な
properly,In an appropriate or correct manner,adv,適切に
protect,To defend someone or something from harm or danger,verb,保護する
protection,Being kept from harm,n,保護
public,concerning society in general,adj,公の；公的な
pull,To hold something and move it toward you,verb,引く；引っ張る
push,To force something away from you,verb,押しのける
put,To move or place a thing in a particular position,verb,置く
quarter,One of four equal parts of something,n,4分の1
question,To ask for or try to get information,verb,質問する；疑問に思う
quick,Using very little time; moving far in little time,adj,素早い；速い
quickly,without taking a lot of time; fast,adv,速く；すぐに
quiet,Not loud; making very little sound,adj,静かな
quietly,In a quiet manner;  making little sound or fuss,adv,静かに
quite,Very; In a complete or total manner,adv,全く；かなり
race,"contest between either people, animals or vehicles, to determine which is the fastest",n,競争，競争する
radio,system for sending and receiving signals through the air,n,ラジオ
rain,Drops of water that fall out of clouds in the sky,n,雨
raise,"To increase a quantity, size, intensity or price",verb,高める
rate,speed or frequency of events over time,n,速度；割合；比率
rather,Somewhat; fairly; not that much,adv,かなり；いくぶん；どちらかといえば；それどころか
reach,To come to or arrive at a goal or destination,verb,伸びる；及ぶ；届く；到着する，伸ばすこと；届く範囲
reader,person who reads written or printed materials,n,読者
ready,Prepared,adj,用意のできた；～しがち；即座の
real,"Actually existing or happening, not imagined",adj,現実の；本物の
reality,"What is true, as opposed to what is imagined",n,現実
realize,To become aware of or understand mentally,verb,気づく；理解する
really,Very,adv,本当に；実に
reason,explanation for why something occurred or was done,n,理由；原因；根拠
reasonable,Fair and sensible; appropriate,adj,理性的な；合理的
reasonably,In a fair and just manner,adv,理性的に；合理的に
recent,happening or beginning not long ago,adj,最近の
recently,just a while ago; not long ago,adv,最近；近年
record,Being the highest or most extreme level achieved in an area,n,レコード
red,being the color of blood,adj,赤；血の色のような
relate,To understand or sympathize with someone or something,verb,関係づける；関連する
relation,"manner in which people, groups or countries behave toward one another",n,～に関する
relationship,"manner in which people, groups or countries behave toward one another",n,関係
remember,To bring a previous image or idea to your mind,verb,思い出す
rent,To pay money for the use of something,verb,家賃，賃借りする
reply,Answer someone's question,n,答える，返信
report,account of something which gives the necessary facts and information,n,報告書； レポート
reporter,"Someone whose job is to research, gather, write, and report news for a newspaper, magazine, television or radio station",n,報告書；記者；レポーター
responsibility,state of being dependable or reliable,n,責任
responsible,Having the duty of dealing with something; being the cause or creator of something; behaving in a mature and reasonable manner,adj,責任がある；信頼できる
rest,"time when one relaxes, sleeps, or is inactive",n,休憩
rich,"Having a lot of money, possessions, or resources",adj,金持ち；豊かな
rid,To no longer be wanted so you throw it away,verb,除去する；解放する
ride,To sit on and control a horse or vehicle,verb,乗る，乗車
right,on side where the hand that most people write with,adj,右の；右に
ring,"To produce a sound from a bell, alarm or telephone",verb,ベルやアラームの音が鳴る；響く
rise,To move from a lower position to a higher one,verb,上がる；起立する，上昇
river,flowing water that runs from mountains to the sea,n,川
road,long piece of hard land for cars to travel on,n,道路
rock,"big stone; hard, solid substance forming mountains",n,岩；石
roll,To move along a surface by turning many times,verb,転がる
room,"part of building enclosed by walls, e.g. kitchen",n,部屋
rough,Having an uneven or not smooth surface,adj,大ざっぱな；おおよその
roughly,In an inexact or imprecise manner,adv,粗雑に；手荒く
round,being in the shape of a circle or ball,adj,丸い，円形
rule,statement that says how things should be,n,規則；ルール；習慣，決定する
run,To move your legs faster than walking,verb,走る
sad,feeling unhappy; wishing something hadn't happened,adj,悲しい
safe,being out of danger,adj,安全な
safety,state of being free from harm or danger,n,安全
sail,To travel on water in a ship or boat,verb,帆，航行する
same,Identical; not different,det,同じ
saturday,sixth day of the week; the day after Friday,n,土曜日
save,To rescue someone or something from a bad situation,verb,救う
say,To use words to tell your message,verb,言う；言葉を使う
scare,to make someone feel frightened or worried,verb,怖がらせる
science,Knowledge of the physical world based on facts,n,科学
scientific,Concerning science,adj,科学的
scientist,person who is trained in a science,n,科学者
sea,place with a large amount of salt water,n,海
seat,To show someone to a place that can sit down,verb,座席，着席させる
second,2nd; the one following first,adj,第二の
secondary,Being of less importance than something else,adj,二番目の；二次的な
secondly,Concerning a point or reason after the first,adv,第二に
secure,"To protect something from danger or harm, keep things safe",verb,安全な，確保する；固定する
security,"Things done to protect people, buildings, a country, etc. from harm",n,安全
see,To use your eyes to look at something,verb,見る
seem,To appear to be something,verb,～のように見える；思われる
self,person that someone really is,n,自己
sell,To exchange something for money,verb,売る
send,To cause mail or package to go to another place,verb,送る；送信する
sense,"To perceive using sight, sound, taste touch or hearing",verb,感覚，感じる；感知する
serious,Needing thought or concentration; important; in a sober manner,adj,深刻な；真剣な；まじめな
seriously,In a dangerous or negative manner,adv,真剣に
servant,"person who works in another person's house and usually is responsible for cooking, cleaning and other tasks",n,使用人
serve,to give or provide something to another person,verb,供給する；役立つ
server,person whose occupation is to serve at table (as in a restaurant) (court games) the player who serves to start a point (computer science) a computer that provides client stations with access to files and printers as shared resources to a computer network; utensil used in serving food or drink,n,サーバー
service,To maintain a piece of machinery so it runs well,verb,修理する；点検する
set,"complete group of something, e.g. a chess set",n,セット；一揃え
settle,To move to a new environment and become accustomed to it,verb,定住する；落ち着く
seven,number 7,num,七
seventeen,17,num,十七
seventy,70,num,七十
several,More than two but not many,det,いくつかの；それぞれの
sex,state of being male or female mostly biological,n,性別
sexual,Concerning or connected with the physical activity that can produce babies,adj,性的な
shake,to move something violently back and forth or up and down,verb,振る；震える；動揺させる，振動；震え
shall,"Expressing the future tense, to expect to happen",aux,～すべきである；当然～だろう；～しなければならない；～しましょうか
shape,"the outer form of something, what it looks like",n,形，形作る
share,"part of a company you own, shown by a certificate",n,株；株券
she,female person or animal mentioned before,pron,彼女
ship,large boat,n,船
shirt,"light garment for upper body, with sleeves",n,シャツ
shoe,outer covering for the foot made from leather,n,靴
shop,place which sells things,n,店；商店
short,small distance from one end to the other,n,短い；背が低い；不足して
shot,To kick or throw a ball at a goal,verb,（ボールをゴールに）ける；投げ入れる；シュートする
should,Used to indicate what is proper or reasonable,aux,～べきである
shoulder,part of the body where an arm attaches or joins,n,肩
shout,To speak very loudly because you want to get their attention,verb,叫ぶ
shut,To close something,verb,閉じる；閉める，閉じた
sick,Having a physical or mental illness,adj,病気の
side,straight edge of an object,n,側面
sight,sense that allows one to see and take in information through your eyes,n,見ること；視力；視野
sign,To write your signature on formal documents such as contracts,verb,署名する；合図する；契約する
silly,Lacking seriousness or foolish,adv,ばかな
simple,Not hard to understand or do; not complex,adj,簡単な；単純な
simply,In an easy or clear manner,adv,簡単に；単純に
since,from the time in the past that,prep,～以来；～なので
sing,To make musical sounds with your voice,verb,歌う
singer,"person who sings, often as a profession",n,歌手
single,"Only, merely",adj,たった一つの
sir,form of address to a man you respect/do not know,n,あなたさま；～殿
sister,female you share a parent with,n,姉妹
sit,To be in a resting position on a chair,verb,座る
situate,To place someone or something in a particular place or position,verb,位置付ける
situation,"condition, location or position",n,状況
six,6,num,六
sixteen,16,num,十六
sixty,60,num,六十
size,How big or small a thing is,n,大きさ；サイズ
skin,outer layer of an animal or human,n,皮膚
sky,the place where we see clouds above us,n,空
sleep,"To rest your body in bed, as at night time",verb,眠る
slight,Very small,adj,わずかな，軽視
slightly,Concerning a small quantity or degree,adv,わずかに
slip,To slide out of position or fall on the ground by accident,verb,滑る，滑ること
slow,"moving or happening without speed; not fast
",adj,遅い；遅くなる
slowly,in an unhurried or not speedy manner,adv,ゆっくりと
small,Little in size; not big,adj,小さい
smell,To use the nose to sense something,verb,におい，においを嗅ぐ；においがする
smile,To put up the corners of mouth to show happiness,verb,ほほえむ，笑顔
smoke,To breathe in through a cigarette and then blow it out,verb,喫煙
snow,icy material falling from the clouds,n,雪，雪が降る
soft,"Easy to press, bend or cut; not hard or firm",adj,やわらかい；穏やかな
some,Used to refer to an unspecified amount or number,det,いくらかの；ある；およそ
somebody,Person who is not known or named,pron,誰か
somehow,In a way that is not known or certain,adv,どういうわけか；なんらかの方法で
someone,person who is not known or named,pron,誰か
something,thing that is not yet known or named,pron,何か
sometimes,only at certain times; occasionally,adv,ときどき
somewhere,at or to an unknown or unnamed place,adv,どこかに
son,male child; friendly way of addressing a boy,n,息子
song,Some music with words in verse,n,歌
soon,At a time not long from now,adv,もうすぐ；早く
sorry,what you say to admit you were wrong,itj,すまないと思う；後悔している；気の毒に思う
sort,group or class of similar things or people,n,種類
sound,Waves traveling in air or water that can be heard ,n,音；音響
south,direction that is the opposite of north,adj,南；南の；南へ
space,empty area with nothing in it,n,空間；間隔
speak,"To use words to tell information, express thoughts",verb,話す
speaker,person who makes a speech before a group,n,話す人；演説者
special,Different from what is usual; better or greater than normal,adj,特別な
specialist,person who works in one specific area of a field or profession,n,専門家
specialize,To focus on one area of a field or profession,verb,専門にする
spend,To use money to pay for something,verb,使う；過ごす
sport,game or physical exercise with rules,n,スポーツ
spot,see someone by chance,adj,見つける
spring,time of year when plants start growing after winter,n,春
square,shape with 4 equal length sides and 4 equal angles,n,正方形；四角
stage,place where actors or musician perform for others,n,舞台
stand,to be upright; not be sitting or lying down,verb,立つ
star,A bright planet of gas in the night sky,adj,星
stare,To look at someone or something for a long time,verb,じっと見る
start,first time or place that a thing exists; beginning,n,始め；開始
state,"region within a country, with its own government",n,州
statement,act or process of saying something formally,n,発言；陳述
station,place where you can catch a train or a bus,n,駅
stay,To spend time visiting a place or someone’s home,verb,滞在する
steal,To secretly take something that belongs to another,verb,盗む
step,flat horizontal piece that forms stairs,n,階段；ステップ
stick,long thin piece of wood from a tree,n,棒
still,(used of an action or condition that is ongoing),adv,まだ；それでも；なお
stone,"hard, solid piece of rock",n,石
stop,To finish moving or to come to an end,verb,止まる
storage,act of storing something; a depository for goods,n,貯蔵；保管；保管場所
store,place where you can go to buy things,n,店
story,an account or description of how something happened,n,話；物語
straight,"Not having curves, bends, or angles",adj,まっすぐな
strange,Unusual or odd; surprising because unexpected,adj,奇妙な
stranger,Someone you do not know,n,見知らぬ人
street,road in a city with buildings and places to walk,n,道；通り
strike,To hit something,verb,打つ；殴る
strong,Having big muscles; physically powerful,adj,強い；力強い
strongly,With strength or in a strong manner,adv,強く
student,person studying at school,n,学生
study,To focus on learning something usually at school,verb,勉強する
stuff,"generic description for things, materials, objects",n,物
stupid,not intelligent; lacking the ability to learn easily,adj,ばか；頭が悪い
subject,the person or thing that does the action of a verb,n,主語
such,Like or similar,det,そのような；とても～な
sudden,Happening or done quickly or unexpectedly,adj,突然の
suddenly,In an unexpected or very quick manner,adv,突然に
suggest,to mention something that could be done; propose,verb,提案する
suggestion,idea about what someone should do,n,提案
suitable,right for a particular purpose or occasion,adj,適した；ふさわしい
summer,part of the year when the weather is hot,n,夏
sunday,"seventh day of the week, the day after Saturday",n,日曜日
support,To give assistance or advice to someone,verb,支える；支援する
supporter,someone who shows they are in favor of idea/plan,n,サポーター; 支持者
suppose,To imagine or guess what might happen,verb,思う；仮定する
sure,having no doubts about something,adj,確信している
surely,With certainty; definitely,adv,確かに；きっと
surprise,To do something that another person didn't expect,verb,驚かせる
surprisingly,In an unexpected manner ; to an unexpected degree,adv,驚くほど
sweet,tasting like sugar; containing sugar,adj,甘い
swim,to move through water by moving parts of the body,verb,泳ぐ
system,"set of organized, planned ideas that work together",n,体系；システム
table,raised flat surface,n,テーブル
tail,part of an animal's body that extends from it's back end,n,尾
take,To pick up something and go away with it,verb,持ち帰る
talk,To say things or ideas to someone with words,verb,話す
tall,High in height,adj,背の高い
tape,To stick things together using an adhesive strip,verb,テープで貼る
taste,the flavor in your mouth from food or drink,n,味
tax,Money taken by a government from its people,n,税
teach,To help someone learn or do something,verb,教える
teacher,"person who teaches others, especially in a school",n,先生
team,group of people working on a task together,n,チーム
tear,drop of salty water from the eye,n,涙
telephone,machine used to talk to someone who is far away,n,電話
television,"device that broadcasts programs, movies or show",n,テレビ
tell,To say or communicate information to someone,verb,伝える;  話す
ten,10,num,10
tend,To regularly behave in a certain way,verb,～する傾向がある
tendency,likelihood to behave in a particular way,n,傾向
term,fixed period of weeks for learning at school,n,学期
terrible,Very bad; horrible,adj,ひどい；恐ろしい
test,examination; questions to measure knowledge,n,試験；テスト
than,Used to compare two things that are not equal,conj,～よりも
thank,to tell someone you are grateful to them,verb,感謝する
that,used to show which person or thing we are talking about,adj,それ；あれ；そのようなこと，その；あの，それくらい
their,Belonging to them,det,彼らの；彼女らの；それらの
them,Referring to specified other people,pron,彼らを；彼女らを；それらを
themselves,reflexive form of they,pron,彼ら自身；彼女ら自身；それら自体
then,At that time not now,adv,あのとき；それから
there,"In that place or position, at that location",adv,そこ；あそこ；そこで；そこに
these,"People, things, or ideas near you",det,これら
they,"Used to refer to two or more people, animals, or things",pron,彼ら；彼女ら；それら
thick,Having a large distance between two surfaces,adj,ぶ厚い
thing,something you cannot remember the name of,n,あの物；あのこと
think,"To have an idea, opinion or belief about something",verb,考える；思う
thirst,need for something to drink,n,渇き，喉が渇く
thirteen,13,num,13
thirty,number 30,num,30
this,"person, thing, or idea near you",adj,この，これ，こんなに
those,used to show which people or things we are talking about,det,あれら
though,"Although, despite the fact that",adv,～だけれども
thousand,"number 1,000",num,1000 
three,number 3,num,3
throat,inside of the neck that swallows,n,喉
through,From one end or side of something to the other end or side,adj,〜を通じて; 〜を通して；完全に
throughout,"Over or across an entire thing or place, or in every part of something",prep,至る所に；～の間中ずっと
throw,To use your arm to make a thing fly through the air,verb,投げる
thursday,fourth day of the week; the day after Wednesday,n,木曜日
tie,To attach things (together) with a string or rope,verb,結ぶ；縛る
tight,(rope or tie) pulled strongly,adj,きつい；ピンと張った：詰まった；密接な；厳しい
till,Until,conj,～まで
time,"Something measured in minutes, hours, days, etc",n,時間（という概念）
tire,Lose energy and feel that you need to rest,n,疲れさせる；飽きさせる
to,Move towards; in the direction of,adv,～へ；～に；～まで；～に対して；～すること；～ために
today,on this day; at the time that is happening now,adv,今日
together,Near close in the same place not far in a family or group,adv,一緒に；まとめて
tomorrow,day after today,adv,明日；未来
tonight,night following this day,adv,今夜
tooth,"hard white things in the mouth, used to bite",n,歯
top,highest or upper part or point of something,n,最上部；最上位
total,whole number or amount of something,n,合計
totally,In a complete way; completely; absolutely,adv,全く
touch,"to feel an object with your fingers, etc",verb,触る；接する
toward,Facing or moving in the direction of something,adv,～の方へ；～へ向いて；～に対して
town,small city,n,町
track,To follow behind someone to see what they are doing,verb,跡；道，追跡する
train,vehicle that carries people and runs on rails,n,電車
travel,to go to a place that is far away,verb,旅行する
treat,To act in a certain way toward someone,verb,扱う
treatment,way someone acts toward another,n,取り扱い
tree,tall green plants in a forest,n,木
trip,journey or visit to a place,n,旅行
trouble,state of difficulty or stress,n,悩み；困難；面倒；もめごと；病気；故障
true,Agreeing with the facts; not false; real or actual,adv,真実の; 本当の
truly,In accordance with truth or fact or reality,adv,本当に
trust,To be confident that someone is honest and reliable ,verb,信頼する，信頼；委託
truth,real facts about something,n,真理；真実
try,"To make an effort, to attempt to do something",verb,試す；やってみる
tuesday,second day of the wee; the day after Monday,n,火曜日
twelve,12,num,12
twenty,number 20,num,20
twice,Two times,adv,2度；2倍
two,2,num,2
ugly,Unpleasant to look at; not attractive,adj,醜い
unable,Not being able to do something,adj,〜することができない
uncertainty,The feeling that you don't really know what will happen,n,不確実なこと
unclear,Not easy to understand; not obvious,adj,はっきりしない； 不明確な
under,"In the same place as another thing, but lower",adj,以下の
understand,"to know the meaning of language, what someone says",verb,分かる；理解する
unemployment,state of being unemployed or not having a job,n,失業
unfortunately,in a way that is to be regretted; unluckily,adv,不運にも
unknown,Being unfamiliar or not known,n,知られていない
unless,negative of 'if',conj,～でない限り
until,"Up to, to indicate a point in time when something happens",conj,～まで
unusual,Being rare or uncommon; not ordinary; strange,adj,珍しい
up,Move higher; raise,adj,上へ；立って；起こって
upon,More formal term for on,prep,〜の上に
us,Belonging to the speaker and other people,pron,私たちを
use,"to do something with, for a task or purpose",verb,使う；利用する
useful,that can help with a particular task,adj,役に立つ
user,"person that uses a service or thing, e.g. a website",n,使用者
usual,being the way things occur most of the time,adj,いつもの
usually,Normally; regularly,adv,普通は
van,truck with an enclosed cargo space,n,小型トラック
very,lot; much,verb,とても，まさに
video,recording capturing action with sound ,n,動画；ビデオ
view,things you are able to see from a specific place,n,見えるもの、視界
visit,"To go to a place for a time, usually for a reason",verb,訪ねる，訪問する
visitor,one who goes to a place to see it (or someone),n,訪問者
voice,sound made when you speak or sing,n,声
wait,to spend time until an expected thing happens,verb,待つ，待機する
wake,To stop something or someone sleeping,verb,目が覚める；目覚めさせる
walk,to move with your legs at a slowish pace,verb,歩く
wall,"high, flat side of a room or building",n,壁
want,To desire or wish for something; hope for a thing,verb,～が欲しい；望んでいる；～したいと思う
war,situation where armies fight each other,n,戦争
wash,To clean someone or something with soap and water,verb,洗う
waste,To use valuable things ineffectively,verb,むだに使う；浪費する
watch,to look at carefully to work out what is happening,verb,観察する
water,"clear liquid that forms the seas, rivers and rain",n,水
wave,to move your hand or arm to say hello or goodbye,verb,手を振る
we,Used to refer to the speaker and other people together,pron,私たち
wear,"To have clothes, glasses, shoes etc on your body",verb,着る
weather,"whether it is raining, sunny, cold etc outside",n,天気；天候
web,internet’s collection of interrelated information,n,インターネットのウェブ
wed,formal to get married to,verb,結婚する
wednesday,third day of the week; the day after Tuesday,n,水曜日
week,"period of seven days, starts on Sunday and end on Saturday",n,週；週間
weekly,"Happening, published, or done once a week",adv,毎週
weight,How heavy something is,n,重さ
well,In a good way,adj,健康な
west,"direction that the sun sets from north, 90 degrees to the left",n,西
whatever,Anything or everything needed; no matter what,det,～する事は何でも；何であれ；一体何が～
wheel,"circular thing that rolls, used for moving things",n,車輪
when,word you use to ask about the time or day,n,いつ
whenever,At any or every time that,adv,～するときはいつでも；いつであれ；一体いつ～
where,word you use to ask the location of something,n,どこ
wherever,In any situation or at any time that,adv,どこへ～しても
whether,if something will happen or not,conj,～かどうか；～であろうとなかろうと
which,question word to ask about a person’s choice,det,どちら
while,During the time that; at the same time,conj,～の間に
whilst,During the time that; at the same time,conj,～の間に
white,lightest color; the color of fresh snow and milk,adj,白
who,"What or which person or people, to ask about, talking about",pron,誰
whole,complete or full; all of ,adj,全部の
whom,Used in formal writing or speech,pron,誰を；誰に；～する人
whose,Who owns something,pron,誰の
wide,Having a great distance from one side to the other,adj,広い
wife,married woman,n,妻
wild,Living in nature; not tame,adj,野生の
will,used with verbs to express the future,aux,～するつもりである；～でしょう；どうしても～するものだ；～しなさい；～することがある
win,To succeed in a game or contest,verb,勝つ
wind,natural movement of outside air as part of the weather,n,風
window,opening in a wall or door to let in light,n,窓
wine,alcoholic drink made from the juice of grapes,n,ワイン
winner,person or thing that wins a contest or race,n,勝者；受賞者
winter,coldest season of the year,n,冬
wish,To want something to happen or to become true,verb,願う
with,Used to express that people or things are together,prep,～と一緒に;  ～で；～の一員で；～に賛成して；～した状態で
within,"Not beyond the limits of a particular space, time or range",adv,～中に；～以内
without,Used to say you don't have something or it isn't in a place,prep,～なしで
woman,adult female human being,n,女性
wonder,Surprise caused by experiencing something amazing,n,驚き
wonderful,producing feelings of enjoyment or delight,adj,素晴らしい
wood,"Land covered with trees, smaller than a forest",n,森林
wooden,made of wood,adj,木でできた
word,unit of language that has a meaning,n,単語；言葉
work,activity you do in order to make money,n,仕事
worker,person who works,n,労働者
world,"All the humans, events, activities on the earth",n,世界
worry,To feel concerned or troubled about something,verb,心配する
worth,how much something is worth; the value of something,n,価値
would,"modal verb used to indicate possibility, request etc.",aux,～だろう；～したい；よく～したものだった；～しようとしてきかない
write,To compose letters and words on paper or a screen,verb,書く
writer,"professional who writes books, articles etc",n,作家；書き手
wrong,"Not right, incorrect; not true; bad",adj,間違った；間違って
yard,outdoor area or garden next to a house,n,庭
year,unit of time equal to 12 months or 365 (or 366) days,n,年
yellow,color of lemons or the sun,adj,黄色
yes,way to say you agree or will do something,itj,はい
yesterday,day before today,adv,昨日
yet,until now; up to the present,adv,まだ
you,person someone is speaking or writing to,pron,あなた
young,at an early stage of existence; not mature,adj,若い
your,belonging to you; belonging to the other person,det,あなたの
yourself,"reflexive form of 'you', used for an emphasis",pron,あなた自身
zero,number 0,num,ゼロ
access,"way to enter a place, e.g. a station or stadium",n,アクセス；接近
accident,"sudden unplanned event causing damage, injury etc",n,事故；偶然
accuse,To claim that someone has done something wrong,verb,訴える；非難する
active,Moving around a lot or doing many things,adj,活動的な；能動的な
activity,"An action or task, e.g. sports, washing your clothes",n,活動
adapt,To change something to fit or suit a new purpose,verb,適応する
admire,To feel respect or wonder toward someone,verb,賞賛する；感心する
adult,person or animal that is fully grown,n,大人，成人
advance,To move forward in a certain direction,verb,前進する，進む
advantage,thing making the chance of success higher,n,利点
adventure,An exciting and often dangerous experience,n,冒険
advice,suggestion about what someone should do,n,助言
advise,To suggest what should be done,verb,忠告する; 勧める
adviser,"Someone giving advice in business, law etc",n,助言者；顧問
affair,"event or a set of events, often unpleasant ones",n,事件;  事柄;  問題
affect,To do something that changes something else,verb,影響する
agent,person who can represent and decide for others,n,代理人;  エージェント
aid,To provide things useful or needed by others,verb,援助する
alarm,sound or light used for a warning or alert,n,警報；アラーム
alcohol,"Drinks such as wine, whiskey, beer",n,アルコール飲料
alive,Living; not dead,adj,生きている
alter,To change a part of something e.g. clothing,verb,変更する
altogether,Completely and fully,adv,完全に；全部で；要するに
anger,"To make someone mad, upset, or annoyed",verb,怒らせる
announce,"To make a public statement about a plan, decision",verb,知らせる；公表する
announcement,act of informing people about something publicly,n,お知らせ
anxious,Afraid of what may happen; worried and nervous,adj,心配している
apartment,set of rooms to live in on one floor of a building,n,アパート
appeal,To request a judge or others change a decision,verb,訴える
application,"formal request for job, building permission etc",n,申し込み； 申請
apply,"to ask formally for (job, building permission etc)",verb,申し込む；申請する
appoint,"To officially choose a person for a job, position",verb,任命する； 指定する
appointment,time you arranged to meet someone or do something,n,予約； 約束
appreciate,to be thankful for; to value or admire,verb,ありがたく思う；感謝する
approach,To get close to reaching something or somewhere,verb,近づく； 接近する
april,4th month of the year,n,4月
argue,To give reasons for or against an idea or point of view,verb,言い争う
argument,A discussion in which you disagree with another’s opinion,n,口論
army,large group of soldiers organized to fight in wars,n,軍隊
arrange,To organize things into an order for them to happen,verb,きちんと並べる;  整える
arrangement,"organized plan, event for a time and place",n,打ち合わせ；準備
arrest,To use the law to catch and keep people who committed crimes,verb,逮捕する
article,piece of writing about a particular subject,n,記事；文書
aside,to the side; out of the way; for later use,adv,わきへ
assist,to help,verb,手伝う；援助する
assistance,act of helping someone,n,援助
assistant,"person who helps another, usually as a job",n,助手
associate,"partner in professional work, e.g. in law",n,同僚；仕事仲間
association,organization of people with the same interest,n, 団体； 協会
assume,"to believe, based on the evidence; suppose",verb,仮定する；推測する
assure,To make sure that something happens,verb,保証する
atmosphere,the air around us,n,大気；空気
attachment,strong affection for someone,n, 愛着；愛情
attack,"to try to destroy, beat, or injure",verb,攻撃する
attempt,To try to do something challenging or difficult,verb,試みる；企てる
attend,To be present at an event,verb,出席する
attendance,state of being present at a place or event,n,出席
attention,focus of your thoughts on something,n,注意；注目
attitude,"way you act, think and feel about something",n,態度
attract,To make someone notice and become interested in,verb,魅了する；引きつける
attraction,interesting place people want to visit e.g. museum,n,観光スポット
attractive,"making you like them, as by being good-looking",adj,魅力的な
august,8th month of the year,n,8月
automatically,in a way not requiring control by a person,adv,自動的に
available,present and able to be used,adj,利用できる
average,typical or normal; usual; ordinary,adj,平均の；普通の
avoid,"To prevent from happening, or stay away from",verb,避ける
background,"images, color, or information behind the main one",n,背景
balance,To make two or more things equal,verb,釣り合う;  バランスをとる
barely,In a way that is difficult but still possible; almost not,adv,かろうじて
basis,"starting situation, fact, idea to develop from",n pl.,基準；基礎
battle,military fight between armies,n,戦い、戦闘
beer,alcoholic drink that is made from wheat or grains,n,ビール
bell,object shaped like a cup that rings when hit,n,ベル
belong,To be a member of a particular group and feel welcomed,verb,属する
belt,band of material worn around a person's waist,n,ベルト
bend,To use force to make an object not straight,verb,曲げる
benefit,"good result or effect, something advantageous",n,利益、特典
bike,2-wheeled vehicle ridden by pushing on foot pedals,n,オートバイ；自転車
bin,"type of container, usually for trash",n,ゴミ箱；容器
bind,To wrap something with rope,verb,縛る；結ぶ
bite,To press down on or cut into something with the teeth,verb,かむ，かむこと
blame,To say someone is responsible for something bad,verb,非難する
bless,To make something holy by saying a special prayer,verb,祝福する
blind,Unable to see; with eyes that cannot see,adj,目の見えない
block,To stop from going forward or making progress,verb,妨げる； 塞ぐ
bomb,to drop a bomb on; attack with explosives,verb,爆撃する
bond,"To become joined or connected, e.g. using glue",verb,くっつける； 接着する
boom,To make a deep hollow resonant sound,verb,ブーンという音；ブーム
boot,footwear covering your foot and part of your leg,n,ブーツ； 長靴
borrow,To take and later return something from another,verb,借りる
boss,"The person who manages you, or is in charge of you at work",n,上司；ボス
bowl,"round container used for holding rice, soup etc",n,ボウル
brain,The part of the head that thinks and controls your body,n,脳；頭脳
branch,part of a tree growing outward from the trunk,n,枝
brand,"name given to a product or service e.g. Rolex, Ferrari",n,ブランド；銘柄
breast,two soft round parts on a woman’s chest.,n,胸
breathe,To move air into and out of your lungs,verb,呼吸する
breed,To produce baby animals of specific kinds,verb,動物が子を生む;  繁殖する
bridge,structure built over river/road so you can cross,n,橋
brief,(of period of time) short; using few words,adj,短時間の；簡潔な
briefly,Happening in a short period of time; using few words,adv,簡潔に
brilliant,Having a great amount of intelligence or talent,adj,才気ある
broad,wide; from the shorter two sides to the other,adj,広範囲の
brush,thing used to comb your hair or to clean the floor,n,磨いたり払うためのハケ
bunch,group of things of the same kind,n,束
burst,To break in a sudden and violent way,verb,破裂する； 爆発する
bury,To put something into the ground and cover it,verb,埋める; 埋葬する
button,small round piece material used to fasten clothing,n,ボタン
cable,"wire carrying electricity, TV signals, internet etc",n,電線
calculate,To find an answer using mathematics,verb,計算する
calm,"Relaxed and not worried or angry
",adj,穏やかな
camera,"object that takes pictures digitally, or on film",n,カメラ
cap,"small, soft hat often with a front visor or shade",n,帽子
capability,"means, ability, or potential to do something",n,能力
